Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
AEM	Agnico-Eagle Mines Ltd	Basic Industries	Precious Metals	41.75	1.09	0.97	231175700	0.44	1.75	4.76	2.17
AEO	American Eagle Outfitters	Consumer Services	Clothing/Shoe/Accessory Stores	14.13	0.97	3.57	177325600	0.5	41.33	0.68	2.21
AEP	American Electric Power Company	Public Utilities	Electric Utilities: Central	63.7	1.16	3.19	491894100	2.36	7.27	2.27	2.04
AER	Aercap Holdings N.V.	Technology	Diversified Commercial Services	8.27	6.34	0	160595100	0	0.92	1.69	0.99
AES	The Aes Corp	Basic Industries	Electric Utilities: Central	0	-1.14	4.45	660482400	0.48	0.92	0.51	2.37
AET	Aetna Inc	Health Care	Hospital And Medical Service Plans	38.43	4.51	1.24	332081800	2	1.99	0.95	3.85
AEUA	Anadarko Petroleum Corp			0	-5.9	0	0	0	0	0	0
AFB	Alliance National Municipal	Finance	Closed-End Fund - Debt	0	1.21	0	0	0	0	0	0
AFC	Allied Capital Corp		Property & Casualty Insurance	0	-1.17	0	0	0	0	0	0
AFG	American Financial Group	Finance	Property-Casualty Insurers	11.84	8.87	1.33	88036540	1.4	2.79	1.43	1.75
AFGE	American Financial Group Inc			2.96	8.87	0	87832700	0	0	0.36	0.43
AFGH	American Financial Group Inc			0	0	0	6000000	0	0	0	0
AFI	Armstrong Flooring Inc			679.55	0.02	0	27084950	0	1.47	0.36	0.69
AFL	Aflac Incorporated	Finance	Accident &Health Insurance	12.69	6.61	2.14	395282300	1.8	0.92	1.46	1.54
AFS-A	Amtrust Financial Services Inc			0	0	0	0	0	0	0	0
AFS-B	Amtrust Financial Services Dep Pfd			0	0	0	0	0	0	0	0
AFS-C	Amtrust Financial Services Series C			0	0	0	0	0	0	0	0
AFS-D	Amtrust Financial Services Dep Pfd			0	0	0	0	0	0	0	0
AFS-E	Amtrust Financial Services Inc Prf			0	0	0	0	0	0	0	0
AFS-F	Amtrust Financial Services Inc			0	0	0	0	0	0	0	0
AFSS	Amtrust Financial Services Inc			25.16	1.03	0	195828500	0	0	0.86	1.84
AFST	Amtrust Financial Services Inc			0	0	0	5000000	0	0	0	0
AFT	Apollo Senior Floating Rate Fund Inc			0	0	0	0	0	0	0	0
AG	First Majestic Silver	Industrial Goods	Farm & Construction Machinery	86.03	0.08	0	165424700	0	14.1	3.98	1.72
AGC	Advent Claymore Convertible Securities			0	0	0	0	0	0	0	0
AGCO	Agco Corp	Capital Goods	Industrial Machinery/Components	31.83	2.29	0.79	79532970	0.56	0.99	0.74	1.95
AGD	Alpine Global Dynamic Dividend Fund			0	-0.05	0	0	0	0	0	0
AGI	Alamos Gold Inc			0	-0.05	0.32	301109300	0.02	-2.19	3.68	0.93
AGM	Federal Agricultural Mortgage Corp	Finance	Finance Companies	10.41	7.26	1.92	10603950	1.44	1.6	4.39	1.67
AGM-A	Federal Agricultural Mortgage			10.15	7.26	1.92	10603940	1.44	0	4.4	1.67
AGM-B	Federal Ag			0	0	0	0	0	0	0	0
AGM-C	Federal Agricultural Mortgage			0	0	0	0	0	0	0	0
AGM.A	Federal Agricultural Mortgage Corp	Finance	Finance Companies	0	0	0	0	0	0	0	0
AGN	Allergan Plc	Consumer Durables	Major Pharmaceuticals	5.45	32.82	1.59	334302700	2.8	0.97	3.91	0.84
AGN-A	Allergan Plc 5.50% Mandatory C			0	0	0	0	0	0	0	0
AGO	Assured Guaranty Ltd	Finance	Property-Casualty Insurers	4.11	8.9	1.55	119080200	0.57	2.52	2.83	0.65
AGO-B	Assured Guaranty Ltd [B]			0	0	0	0	0	0	0	0
AGO-E	Assured Guaranty Ltd [E]			0	0	0	0	0	0	0	0
AGO-F	Assured Guaranty Ltd [F]			0	0	0	0	0	0	0	0
AGR	Avangrid Inc	Technology	Semiconductor - Integrated Circuits	23.4	2.18	3.42	308973400	1.73	2.9	2.6	1.03
AGRO	Adecoagro S.A.	Consumer Non-Durables	Farming/Seeds/Milling	47.68	0.22	0	121067700	0	0.05	1.33	1.98
AGS	Playags Inc.			0	0	0	0	0	0	0	0
AGX	Argan Inc			12.62	5.43	1.44	15474450	1	0	1.24	3.13
AHC	A.H. Belo Corp	Consumer Services	Newspapers/Magazines	0	-1.14	7.11	21752270	0.32	0	0.38	1.32
AHH	Armada Hoffler Properties Inc			28.81	0.49	5.46	62777140	0.76	6.79	2.77	2.02
AHL	Aspen Insurance Holdings	Finance	Property-Casualty Insurers	17.54	2.45	2.27	59906760	0.96	-0.96	0.94	0.86
AHL-C	Aspen Ins Pfd Inc			0	0	0	0	0	0	0	0
AHL-D	Aspen Insurance Holdings Ltd			0	0	0	0	0	0	0	0
AHP	Ashford Hospitality Prime Inc			25.65	0.39	6.48	31467680	0.64	-2.69	0.76	0.84
AHP-B	Ashford Hospitality Prime Inc			0	0	0	0	0	0	0	0
AHT	Ashford Hospitality Trust Inc	Consumer Services	Real Estate Investment Trusts	0	-1.39	6.95	97430210	0.48	-1.26	0.46	0.9
AHT-D	Ashford Hosp D Pfd			0	0	0	0	0	0	0	0
AHT-F	Ashford Hospitality Trust Inc			0	0	0	0	0	0	0	0
AHT-G	Ashford Hospitality Trust Inc			0	0	0	0	0	0	0	0
AHT-H	Ashford Hospitality Trust Inc Cum Pfd Ser H			0	0	0	0	0	0	0	0
AHT-I	Ashford Hospitality Trust Inc. 7.50% Series I Pf			0	0	0	0	0	0	0	0
AI	Arlington Asset Investment Corp	Finance	Finance/Investors Services	0	-1.5	17.38	25950040	2.2	-0.54	6.57	0.85
AI-B	Arlington Asset 7.00% Series B Pfd			0	0	0	0	0	0	0	0
AIC	Arlington Asset Investment Cor	Finance	REIT - Diversified	0	0	0	0	0	0	0	0
AIF	Apollo Tactical Income Fund Inc			0	0	0	0	0	0	0	0
AIG	American International Group	Finance	Property-Casualty Insurers	0	-0.28	1.97	903330800	1.28	0.13	1.17	0.79
AIG.W	American International Group			0	0	0	0	0	0	0	0
AIN	Albany International Corp	Basic Industries	Textiles	45.67	1.27	1.17	32068970	0.68	2.03	2.27	3.46
AIR	AAR Corp	Capital Goods	Aerospace	23.2	1.66	0.78	33929030	0.3	0.9	0.73	1.42
AIT	Applied Industrial Technologies	Consumer Durables	Industrial Specialties	19.04	3.4	1.79	39073360	1.16	1.7	0.98	3.42
AIV	Apartment Investment and Management	Consumer Services	Real Estate Investment Trusts	34.94	1.27	3.25	157088100	1.44	14.89	6.94	4.97
AIV-A	Apartment Investment and Manag			0	0	0	0	0	0	0	0
AIW	Arlington Asset Investment Cor			0	-1.5	0	25949920	0	0	14.04	1.82
AIY	Apollo Investment Corp			0	0.083	0	0	0	0	0	0
AIZ	Assurant Inc	Finance	Accident &Health Insurance	13.15	7.61	2.11	53873060	2.12	1.47	0.8	1.29
AJG	Arthur J. Gallagher & Co	Finance	Specialty Insurers	25.22	2.48	2.51	180204700	1.56	2.09	1.94	2.92
AJRD	Aerojet Rocketdyne Holdings			62.98	0.52	0	75076920	0	1.8	1.31	19.02
AJX	Great Ajax Corp			9.09	1.57	8.55	17623690	1.2	0	4.88	0.9
AJXA	Great Ajax Corp 7.25% Convertible Senior Notes			0	0	0	4319892	0	0	0	0
AKO.A	Embotell Andina Sa A	Consumer Non-Durables	Beverages (Production/Distribution)	0	0	0	0	0	0	0	0
AKO.B	Embotell Andna Sa B	Consumer Non-Durables	Beverages (Production/Distribution)	0	0	0	0	0	0	0	0
AKP	Alliance California Muni	Finance	Closed-End Fund - Debt	0	1.37	0	0	0	0	0	0
AKR	Acadia Realty Trust	Consumer Services	Real Estate Investment Trusts	44.2	0.65	3.64	83712790	1.04	20.68	9.51	1.52
AKS	AK Steel Holding Corp	Basic Industries	Steel/Iron Ore	15.84	0.38	0	314049600	0	0.28	0.32	0
AL	Air Lease Corporation Class A C	Technology	Diversified Commercial Services	12.61	3.43	0.69	103233300	0.3	0.9	3.05	1.26
ALB	Albemarle Corp	Basic Industries	Major Chemicals	17.79	7.82	0.92	110440000	1.28	2.12	5.47	4.08
ALDW	Alon USA Partners LP			16.98	0.72	11.44	62528780	1.4	-0.23	0.38	6.67
ALE	Allete Inc	Public Utilities	Power Generation	23.45	3.4	2.71	50947420	2.14	4.7	2.86	2
ALEX	Alexander and Baldwin Inc	Consumer Services	Marine Transportation	230.46	0.2	0.62	49118940	0.28	4.42	5.46	1.82
ALG	Alamo Group	Capital Goods	Industrial Machinery/Components	27.79	3.89	0.37	11653720	0.4	3.9	1.48	2.95
ALK	Alaska Air Group	Transportation	Air Freight/Delivery Services	10.83	6.15	1.8	123460500	1.2	2.29	1.16	2.47
ALL	Allstate Corp	Finance	Property-Casualty Insurers	13.84	6.77	1.58	361357100	1.48	0.85	0.9	1.72
ALL-A	Allstate Corporation Pfd			0	0	0	0	0	0	0	0
ALL-B	Ally Financial Inc Fixed Rate F			0	0	0	0	0	0	0	0
ALL-C	The Allstate Corp			0	0	0	0	0	0	0	0
ALL-D	Allstate Corp			0	0	0	0	0	0	0	0
ALL-E	The Allstate Corp			0	0	0	0	0	0	0	0
ALL-F	The Allstate Corp			0	0	0	0	0	0	0	0
ALL-Y	GMAC Capital Trust I Fixed Rate			0	0	0	0	0	0	0	0
ALLE	Allegion Plc Ordinary Shares Wh			31.06	2.59	0.79	95030510	0.64	1.53	3.29	28.89
ALLY	Ally Financial			13.39	1.96	1.84	479832600	0.48	2.25	2.1	0.87
ALP-Q	Alabama Power Co. Pfd			0	0	0	0	0	0	0	0
ALSN	Allison Transmission Holdings			24.38	1.76	1.46	148812300	0.6	0.9	3.08	8.79
ALV	Autoliv Inc	Capital Goods	Auto Parts:O.E.M.	19.61	6.33	1.94	86910990	2.4	2.13	1.05	2.78
ALX	Alexander's Inc	Consumer Services	Real Estate Investment Trusts	25.1	16.62	4.1	5104609	17	0	9.25	6.13
AM	Antero Resources Midstream Llc	Consumer Services	Consumer: Greeting Cards	19.84	1.47	4.72	186579900	1.36	1.13	7.88	3.57
AMBR	Amber Road Inc			0	-0.63	0	27158320	0	-1.03	2.72	8
AMC	Amc Entertainment Holdings Inc			0	-0.96	5.44	130847500	0.8	1.25	0.46	0.78
AME	Amtek Inc	Consumer Durables	Metal Fabrications	30.36	2.28	0.52	230813700	0.36	3.16	4	4.45
AMG	Affiliated Managers Group	Finance	Investment Managers	21.12	9.03	0.42	55957630	0.8	0.93	4.84	2.97
AMGP	Antero Midstream Gp LP			631.03	0.03	1.28	186338800	0.24	-1.03	87.34	180.49
AMH	American Homes 4 Rent	Finance	Life Insurance	0	-0.08	0.94	260242100	0.2	21.15	5.94	1.18
AMH-C	American Homes			0	0	0	0	0	0	0	0
AMH-D	American Homes 4 Rent			0	0	0	0	0	0	0	0
AMH-E	American Homes 4 Rent 6.35% Ser			0	0	0	0	0	0	0	0
AMH-F	American Homes 4 Rent Cum Red Perp Pfd Shs			0	0	0	0	0	0	0	0
AMH-G	American Homes 4 Rent Series G Pfd			0	0	0	0	0	0	0	0
AMID	American Midstreampartners LP			0	-1.46	12.64	52713310	1.65	-6.62	2.3	1.35
AMN	Amn Healthcare Services Inc	Capital Goods	Building Materials	18.27	2.37	0	48036950	0	1.39	1.05	4.01
AMOV	America Movil A Ads			21.0501	0.8	1.86	3287391000	0.32	0	0.9713	5.6954
AMP	Ameriprise Financial Services	Finance	Investment Managers	18.4	8.73	2.15	149919100	3.32	0.92	2.03	3.92
AMRC	Ameresco Inc	Basic Industries	Engineering & Construction	26.58	0.3	0	45527500	0	3.18	0.56	1.2
AMT	American Tower Corp	Consumer Services	Telecommunications Equipment	55.61	2.5	1.9	429187900	2.64	1.99	9.38	9.17
AMT-B	American Tower Corporation [Rei			0	0	0	0	0	0	0	0
AMX	America Movil S.A.B. De C.V.	Public Utilities	Telecommunications Equipment	21.35	0.8	1.93	3287471000	0.33	0.25	0.98	5.73
AN	Autonation Inc	Consumer Durables	Automotive Aftermarket	11.85	4.02	0	100420200	0	2.62	0.22	1.92
ANDV	Andeavor			37.5	2.76	2.25	156894300	2.36	0	0	0
ANDX	Andeavor Logistics LP			24.38	1.92	8.53	108160600	3.88	0	0	0
ANET	Arista Networks Inc			50.49	3.88	0	72527470	0	1.94	10.24	10.24
ANF	Abercrombie & Fitch Company	Consumer Services	Clothing/Shoe/Accessory Stores	0	-0.3	5.48	68087020	0.8	-27.02	0.3	0.86
ANFI	Amira Nature Foods Ltd			7.14	0.84	0	36826670	0	0.23	0.39	0.83
ANH	Anworth Mortgage Asset Corp	Consumer Services	Real Estate Investment Trusts	9.1	0.63	10.49	97550340	0.6	-2.8	6.72	0.94
ANH-A	Anworth Mtg Pfd A			0	0	0	0	0	0	0	0
ANH-B	Anworth 6.25 Pr S B			0	0	0	0	0	0	0	0
ANH-C	Anworth Mortgage Asset Corpora			0	0	0	0	0	0	0	0
ANTM	Anthem Inc			19.98	10.57	1.43	262562700	2.8	1.37	0.62	2.06
ANTX	Anthem Inc			0	9.38	0	0	0	0	0	0
ANW	Aegean Marine Petroleum Network	Energy	Oil Refining/Marketing	6.45	0.69	1.8	40633710	0.08	0.9	0.03	0.29
AOD	Alpine Total Dynamic Dividend			0	-0.18	0	0	0	0	0	0
AOI	Alliance One International	Consumer Services	Farming/Seeds/Milling	0	-7.15	0	8974884	0	0	0.05	0.54
AON	AON Plc	Finance	Specialty Insurers	21.35	6.85	0.99	254344000	1.44	1.7	3.26	7.05
AOS	Smith [A.O.] Corp	Consumer Durables	Metal Fabrications	30.25	1.97	0.94	172483200	0.56	3.5	3.6	6.38
AP	Ampco-Pittsburgh Corp	Capital Goods	Fluid Controls	0	-6.28	0	12359770	0	0	0.55	1.42
APA	Apache Corp	Energy	Oil & Gas Production	0	-0.01	2.53	380952400	1	-102.04	2.68	2.19
APAM	Artisan Partners Asset Manageme			20.74	1.7	6.78	49786630	2.4	1.37	2.36	11.99
APB	Asia Pacific Fund Inc	Finance	Closed-End Fund - Foreign	0	1.93	0	0	0	0	0	0
APC	Anadarko Petroleum Corp	Energy	Oil & Gas Production	0	-3.84	0.42	560336000	0.2	-2.17	2.63	2.3
APD	Air Products and Chemicals	Basic Industries	Major Chemicals	12.09	13.31	2.35	217926400	3.8	5.3	3.54	3.74
APF	Morgan Stanley Asia Pacific Fund Inc	Finance	Closed-End Fund - Foreign	0	0.25	0	0	0	0	0	0
APH	Amphenol Corp	Capital Goods	Electrical Products	29.16	2.97	0.89	305427300	0.76	2.55	4.01	6.73
APLE	Apple Hospitality REIT Inc			22.94	0.82	6.35	223280400	1.2	0	3.56	1.2
APO	Apollo Global Management Llc C	Finance	Investment Managers	12.64	2.55	6.45	193988200	2.08	1.38	2.8	6.43
APO-A	Apollo Global Management Llc Pfd Ser A			0	0	0	0	0	0	0	0
APRN	Blue Apron Holdings Inc			0	-2.05	0	30042880	0	0	0	0
APTS	Preferred Apartment Communities			0	-1.04	4.88	33321130	1	-2.71	2.73	0.64
APTV	Aptiv Plc			0	0	0	0	0	0	0	0
APU	Amerigas Partners LP	Consumer Services	Other Specialty Stores	84.91	0.53	8.44	92888890	3.8	2.99	1.73	4.9
AQ	Aquantia Corp			0	0	0	0	0	0	0	0
AQN	Algonquin Pwr & Util			59.78	0.18	4.36	385981300	0.47	0	3.26	1.86
AQUA	Evoqua Water Technologies Corp			0	0	0	0	0	0	0	0
AR	Antero Resources Corp			436.05	0.04	0	315733300	0	2	2.08	0.75
ARA	American Renal Associates Holdi	Consumer Services	Real Estate Investment Trusts	0	-0.23	0	31285030	0	1.12	0.52	0
ARC	American Reprographics Company	Consumer Services	Professional Services	19.33	0.24	0	46439130	0	2.32	0.54	1.36
ARCH	Arch Coal Inc			1.01	71.83	1.94	24343020	1.4	0	0.79	2.23
ARCO	Arcos Dorados Holdings Inc	Consumer Services	Restaurants	38.85	0.26	0	210891100	0	2.19	0.68	5.21
ARD	Ardagh Group S.A.	Basic Materials	Oil & Gas Drilling & Exploration	0	-1.68	2.71	236178500	0.56	0.32	0.53	0
ARDC	Ares Dynamic Credit Allocation			0	0	0	0	0	0	0	0
ARE	Alexandria Real Estate Equities	Consumer Services	Real Estate Investment Trusts	275.76	0.44	2.83	93647670	3.44	828.1	11.12	2.21
ARE-A	Alexandria Real Estate Equities			0	0	0	0	0	0	0	0
ARE-D	Alexandria Real Estate Equitie			0	0	0	0	0	0	0	0
ARES	Ares Management LP			24.9	0.75	4.96	213978500	0.92	0.64	2.7	5.63
ARI	Apollo Commercial Real Estate	Consumer Services	Real Estate Investment Trusts	9.01	2.02	10.17	105494500	1.84	32.77	8.59	0.88
ARI-C	Apollo Commercial 8% Cum. Perp. Pfd. Series C			0	0	0	0	0	0	0	0
ARL	American Realty Investors	Finance	Real Estate	0	-1.28	0	15373870	0	0	1.17	1.41
ARMK	Aramark Holdings Corp			31.62	1.38	0.96	245014900	0.41	1.59	0.73	4.57
ARNC	Arconic Inc			0	-1.43	0.98	440877700	0.24	0.91	0.86	1.91
AROC	Archrock Inc			0	-0.97	4.1	70939240	0.48	4.53	1.07	1.13
ARR	Armour Residential R	Consumer Services	Real Estate Investment Trusts	3.34	7.6	8.96	41306060	2.28	-1.23	3.17	0.96
ARR-A	Armour Residential REIT Inc			0	0	0	0	0	0	0	0
ARR-B	Armour Residential REIT Inc			0	0	0	0	0	0	0	0
ARW	Arrow Electronics	Consumer Non-Durables	Electronic Components	15.32	5.47	0	88217740	0	1.2	0.3	1.57
ASA	ASA Gold and Precious Metals	Finance	Closed-End Fund - Foreign	0	-1.1	0.35	19288580	0.04	0	149.45	0.8
ASB	Associated Banc-Corp			18.38	1.39	2.17	151467700	0.56	2.56	3.85	1.29
ASB-C	Associated Banc-Corp Depositary			0	0	0	0	0	0	0	0
ASB-D	Associated Banc-Corp			0	0	0	0	0	0	0	0
ASC	Ardmore Shipping Corp			0	-0.37	0	33574570	0	-4.88	1.54	0.7
ASG	Liberty All-Star Growth Fund	Finance	Closed-End Fund - Equity	0	0.22	0	0	0	0	0	0
ASGN	On Assignment			29.62	2.04	0	52867090	0	2.3	1.24	3.4
ASH	Ashland Global Holdings Inc	Consumer Durables	Specialty Chemicals	0	-3.51	1.32	62472500	0.9	-1.4	0.84	1.26
ASIX	Advansix Inc			30.81	1.46	0	30539460	0	0	1.04	5.03
ASPN	Aspen Aerogels Inc			0	-1.01	0	20582370	0	0	0.85	0.99
ASR	Grupo Aeroportuario Del Sureste	Transportation	Aerospace	22.28	8.09	1.89	30020530	3.36	4.95	8.83	4.15
ASX	Advanced Semiconductor Engineering	Technology	Semiconductors	14.04	0.45	3.7	1623418000	0.23	1.35	1.07	1.82
AT	Atlantic Power Corp	Energy	Electric Utilities: Central	0	-0.98	0	115280000	0	0.69	0.7	6.13
ATEN	A10 Networks Inc			0	-0.27	0	59029530	0	-10.67	1.86	5.8
ATGE	Adtalem Global Education Inc			19.01	1.91	0	61983470	0	1.96	1.24	1.35
ATH	Athene Holding Ltd			8.61	6.18	0	200037600	0	0.64	1.86	1.29
ATHM	Autohome Inc			29.31	1.94	0	116066700	0	41.63	6.62	5.82
ATI	Allegheny Technologies Inc	Basic Industries	Steel/Iron Ore	0	-4.59	0	108695700	0	5.01	0.82	1.91
ATKR	Atkore International Group			16.19	1.21	0	64220180	0	1.54	0.82	3.64
ATO	Atmos Energy Corp	Public Utilities	Oil/Gas Transmission	23.38	3.73	2.08	106083200	1.8	3.15	2.53	2.35
ATR	Aptargroup	Consumer Non-Durables	Plastic Products	25.86	3.4	1.44	62777210	1.28	2.92	2.38	4.25
ATTO	Atento S.A.			48.57	0.24	0	73908860	0	1.27	0.48	2.19
ATU	Actuant Corp	Technology	Industrial Machinery/Components	0	-1.11	0.15	59574470	0.04	3.32	1.43	3.12
ATUS	Altice USA Inc Class A			0	-1.3	0	737019900	0	-11.06	1.91	5.39
ATV	Acorn International	Consumer Services	Other Specialty Stores	15.4488	0.91	0	3929324	0	0	2.2567	0.5304
AU	Anglogold Ashanti Ltd	Basic Industries	Precious Metals	0	-0.41	1.05	408898300	0.1	0	0.93	1.48
AUO	Au Optronics Corp	Technology	Semiconductors	3.47	1.19	4.6	961259100	0.18	0.05	0.33	0.6
AUY	Yamana Gold	Basic Industries	Precious Metals	0	-0.44	0.81	949019600	0.02	5.31	1.32	0.52
AVA	Avista Corp	Public Utilities	Power Generation	24.75	2.12	2.74	64386700	1.43	4.74	2.31	1.99
AVAL	Grupo Aval Acciones Y Valores S			13.85	0.62	4.56	1114086000	0.4	0	2.07	1.85
AVB	Avalonbay Communities	Consumer Services	Real Estate Investment Trusts	25.02	7.26	3.14	137737400	5.68	10.23	12.15	2.42
AVD	American Vanguard Corp	Basic Industries	Agricultural Chemicals	46.53	0.49	0.27	29782890	0.06	2.17	2.1	2.3
AVH	Avianca Holdings S.A.			15.64	0.47	5.6	124623300	0.42	-7.87	0.22	0.69
AVK	Advent Claymore Convertible Securities	Finance	Closed-End Fund - Debt	0	0.28	0	0	0	0	0	0
AVP	Avon Products	Consumer Non-Durables	Package Goods/Cosmetics	0	-0.18	0	439951100	0	0.16	0.17	0
AVT	Avnet Inc	Consumer Non-Durables	Electronic Components	9.81	4.09	1.8	123034700	0.72	1.39	0.29	0.99
AVX	Avx Corp	Capital Goods	Electrical Products	24.16	0.76	2.49	168300600	0.46	2.86	2.34	1.38
AVY	Avery Dennison Corp	Consumer Durables	Containers/Packaging	24.93	4.26	1.7	88398830	1.8	1.72	1.48	8.66
AVYA	Avaya Holdings Corp			0	0	0	0	0	0	0	0
AWF	Alliancebernstein Global High Income Fund	Finance	Closed-End Fund - Debt	0	2.17	0	0	0	0	0	0
AWI	Armstrong World Industries Inc	Consumer Non-Durables	Plastic Products	17.39	3.08	0	52847810	0	1.65	2.21	9.53
AWK	American Water Works	Public Utilities	Water Supply	33.1	2.65	1.89	178282200	1.66	3.98	4.68	2.9
AWP	Alpine Global Premier Propertie			0	-0.28	0	0	0	0	0	0
AWR	American States Water Company	Public Utilities	Water Supply	29.55	1.85	1.85	36712330	1.02	6.51	4.49	3.87
AXE	Anixter International Inc	Consumer Non-Durables	Telecommunications Equipment	15.74	4.38	0	33236570	0	1.36	0.29	1.65
AXL	American Axle & Manufacturing	Capital Goods	Auto Parts:O.E.M.	6.25	2.9	0	111294800	0	-1.21	0.43	1.59
AXP	American Express Company	Finance	Finance: Consumer Services	19.65	4.88	1.46	884017100	1.4	1.49	2.87	4
AXR	Amrep Corp	Finance	Real Estate	73.2306	0.098	0	8062314	0	0	1.427	0.6639
AXS	Axis Capital Holdings	Finance	Property-Casualty Insurers	11.95	4.53	2.77	83087140	1.52	-28.78	1.1	0.89
AXS-D	Axis Capital Holdings Ltd			0	0	0	0	0	0	0	0
AXS-E	Axis Capital Holdings Ltd			0	0	0	0	0	0	0	0
AXTA	Axalta Coating Systems Ltd			3315	0.01	0	243137300	0	2.27	1.65	5.44
