Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
ACWI	Ishares ACWI ETF			0	0	0	0	0	0	0	0
ACWX	Ishares ACWI Ex-US ETF			0	0	0	0	0	0	0	0
ACXM	Acxiom Cp	Technology	EDP Services	0	-0.02	0	79346100	0	1.45	2.26	2.63
ADAP	Adaptimmune Ther Ads			0	-0.99	0	93518900	0	0.17	39.39	2.97
ADBE	Adobe Systems Inc	Technology	Computer Software: Prepackaged Software	55.75	3.18	0	492922800	0	1.42	12.41	10.48
ADES	Advanced Emissions Solutions Inc	Basic Industries	Major Chemicals	2.59	4.49	8.73	20795000	1	0.1	4.56	3.23
ADI	Analog Devices	Technology	Semiconductors	45.4	2.01	1.99	367613200	1.8	1.08	7.29	3.36
ADMA	Adma Biologics			0	-1.77	0	25793480	0	0	5.85	2.6
ADMP	Adamis Pharmaceuticl			0	-0.87	0	31351850	0	0	14.86	4.42
ADMS	Adamas Pharma			0	-2.99	0	22514090	0	-0.06	2373.51	4.03
ADOM	Adomani Inc			0	-0.28	0	68070540	0	0	0	64.71
ADP	Automatic Data Procs	Technology	EDP Services	30.71	3.85	1.94	444397500	2.28	2.93	4.21	13.13
ADRA	Bldrs Asia 50 Fd			0	0	0	0	0	0	0	0
ADRD	Bldrs Dev Mkts 100			0	0.11	0	0	0	0	0	0
ADRE	Bldrs EM Mkts 50			0	7.64	0	0	0	0	0	0
ADRO	Aduro Biotech			0	-1.56	0	74612050	0	0.05	35.46	2.36
ADRU	Bldrs EUR 100 Fd			0	0.09	0	0	0	0	0	0
ADSK	Autodesk Inc	Technology	Computer Software: Prepackaged Software	0	-2.67	0	219210200	0	-1.43	13.6	84.33
ADTN	Adtran Inc	Public Utilities	Telecommunications Equipment	24.32	0.88	1.71	47663550	0.36	10.62	1.43	1.99
ADUS	Addus Homecare Corpo	Health Care	Medical/Nursing Services	25.91	1.4	0	11469970	0	1.46	0.97	2.38
ADVM	Adverum Biotechnlgs			0	-1.52	0	43287500	0	0	75.42	0.71
ADXS	Advaxis Inc			0	-2.29	0	41066040	0	0	9.06	1.7
ADXSW	Advaxis Inc Wts			0	0	0	0	0	0	0	0
AEGN	Aegion Corp	Industrial Goods	Heavy Construction	17.4	1.36	0	33011870	0	4.46	0.58	1.31
AEHR	Aehr Test Systems	Capital Goods	Electrical Products	0	-0.27	0	21542370	0	5.77	3.63	4.3
AEIS	Advanced Energy	Capital Goods	Industrial Machinery/Components	23.95	3.94	0	39893900	0	0.42	6.33	7.52
AEMD	Aethlon Medical			0	-0.87	0	8898990	0	0	22.89	0
AERI	Aerie Pharmaceutical			0	-3.26	0	36334910	0	0	0	12.18
AETI	American Electric Te	Capital Goods	Building Products	0	-0.983	0	8615873	0	0	0.364	1.77
AEY	Addvantage Techs Grp	Consumer Services	Office Equipment/Supplies/Services	0	-0.003	0	10189880	0	0	0.3269	0.3597
AEZS	Aeterna Zentaris	Consumer Durables	Major Pharmaceuticals	0	-1.71	0	16111700	0	0	28.12	6.12
AFAM	Almost Family Inc	Health Care	Medical/Nursing Services	31.69	1.47	0	13717080	0	4.58	0.87	1.36
AFH	Atlas Fincl Hld Ord			81.58	0.25	0	12029780	0	0	1.22	1.73
AFHBL	Atlas Financial Holdings Inc 6.625% Senior Uns			105.6911	0.247	0	12029940	0	0	1.6109	2.2873
AFMD	Affimed N.V.			0	-0.994	0	43939240	0	0	22.02	1.821
AFSI	Amtrust Financial	Finance	Property-Casualty Insurers	12.38	1.03	5.44	195447400	0.68	1.03	0.42	0.89
AGEN	Agenus Inc	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	0	-1.26	0	99711170	0	0	8.62	0
AGFS	Agrofresh Solutions			0	-1.43	0	50336740	0	3.55	1.82	0.79
AGFSW	Agrofresh Sol Wrrnts			0	0	0	0	0	0	0	0
AGII	Argo Group Intl Hlds	Finance	Specialty Insurers	11.58	5.53	1.69	30132710	1.08	10.86	1.14	1.02
AGIIL	Argo Grp Itl Snr NTS			0	0	0	5750036	0	0	0	0
AGIO	Agios Pharmaceutical			0	-6.33	0	48424650	0	0	59.19	6.21
AGLE	Aeglea Biothera			0	-1.81	0	16452060	0	0	15.71	1.22
AGNC	American Capital Age	Consumer Services	Real Estate Investment Trusts	4.33	4.78	10.52	355415900	2.16	16.22	4.31	0.99
AGNCB	American Cap Agy Cor			5.48	4.78	7.39	355725200	1.94	0	5.5	1.26
AGNCN	Agnc Investment Corp			0	4.78	3.88	0	1.03	0	0	0
AGND	Wisdomtree Neg Duration US Agg Bond Fund			0	0	0	0	0	0	0	0
AGRX	Agile Therap			0	-0.97	0	28806940	0	0	0	4.55
AGTC	Applied Genetic Tech			190	0.63	0	18086840	0	0	1.74	0.6
AGYS	Agilysys Inc	Consumer Non-Durables	Electronic Components	0	-0.55	0	22811190	0	-2.04	2.09	2.43
AGZD	Wisdomtree Int Rate US Agg Bond Fund			0	0	0	0	0	0	0	0
AHGP	Alliance Holdings Gp	Energy	Coal Mining	8.13	3.46	10.49	59992900	2.92	0.6	0.86	2.71
AHPA	Avista Healthcare Public Acquisition Corp Class			270	0.04	0	9278278	0	0	0	18.53
AHPAU	Avista Healthcare Public Acquisition Corp			0	0	0	0	0	0	0	0
AHPAW	Avista Healthcare Public Acquisition Corp Warra			0	0	0	0	0	0	0	0
AHPI	Allied Healthcare	Health Care	Industrial Specialties	0	-0.52	0	4014286	0	0	0.25	0.52
AIA	Ishares Asia 50 ETF			0	0	0	0	0	0	0	0
AIMC	Altra Indtl Mtn	Capital Goods	Industrial Machinery/Components	40.47	1.2	1.41	29338840	0.68	1.56	1.8	3.79
AIMT	Aimmune Therap			0	-2.25	0	50535480	0	0.26	0	6.54
AINV	Apollo Investment Co	Finance	Closed-End Fund - Debt	0	0.08	9.36	0	0.6	3.14	0	0
AIPT	Precision Therapeutics Inc.			0	0	0	0	0	0	0	0
AIRG	Airgain Inc			33.14	0.25	0	9544379	0	1.48	1.76	1.88
AIRR	Rba American Industrial Renaissance ETF FT			0	0	0	0	0	0	0	0
AIRT	Air T Inc	Transportation	Air Freight/Delivery Services	0	-1.51	0	2041995	0	0	0.25	1.59
AKAM	Akamai Technologies	Miscellaneous	Business Services	30.27	1.75	0	171509400	0	3.29	3.78	2.79
AKAO	Achaogen Inc			0	-3.1	0	42233310	0	-0.07	14.82	2.95
AKBA	Akebia Therapeutics			0	-3.6	0	18300230	0	0	6.1	12.65
AKCA	Akcea Therapeutics Inc			0	-1.89	0	63929620	0	0	0	0
AKER	Akers Biosciences			0	-0.42	0	8903614	0	0	2.34	1.43
AKRX	Akorn Inc	Consumer Durables	Major Pharmaceuticals	32.85	0.99	0	124846200	0	-4.09	4.02	4.63
AKTS	Akoustis Technologies Inc			0	-0.54	0	19084180	0	0	228.3	7.4
AKTX	Akari Therapeutics			0	-2	0	11774940	0	0	0	2.11
ALBO	Albireo Pharma Inc			0	-6.29	0	8881836	0	0	70.91	3.07
ALCO	Alico Inc	Consumer Non-Durables	Farming/Seeds/Milling	45.22	0.74	0.74	8253055	0.24	0	2.07	1.49
ALDR	Alder Biopharma			0	-5.14	0	67713390	0	-0.08	1026.1	2.38
ALDX	Aldeyra Therapeu			0	-1.47	0	6245670	0	0	0	4.06
ALGN	Align Technology I	Health Care	Industrial Specialties	80.8	2.92	0	80147490	0	2.44	13.13	15.09
ALGT	Allegiant Travel Com	Transportation	Air Freight/Delivery Services	13.07	10.66	1.98	16223980	2.8	-14.47	1.58	4.98
ALIM	Alimera Sciences Inc	Consumer Durables	Major Pharmaceuticals	0	-0.39	0	69048000	0	0	2.38	0
ALJJ	Alj Regional Hold			12.27	0.29	0	36042020	0	0	0.41	1.59
ALKS	Alkermes Plc	Consumer Durables	Major Pharmaceuticals	0	-1.29	0	153661000	0	-1145.21	10.5	7.03
ALLT	Allot Communications	Technology	Computer Communications Equipment	0	-0.35	0	33200000	0	1.55	2.16	1.18
ALNA	Allena Pharmaceuticals Inc			0	0	0	0	0	0	0	0
ALNY	Alnylam Pharmaceut	Consumer Durables	Major Pharmaceuticals	0	-5.12	0	91727820	0	-0.48	159.14	9.35
ALOG	Analogic Cp	Capital Goods	Electrical Products	0	-5.96	0.5	12454990	0.4	1.9	2.05	2.17
ALOT	Astronova Inc	Technology	Computer peripheral equipment	30.09	0.42	2.27	6741733	0.28	0	0.84	1.4
ALPN	Alpine Immune Sciences Inc			0	-5.7	0	665672	0	0	2.32	0
ALQA	Alliqua Biomedical			0	-11.16	0	5009585	0	-0.06	0.76	0.52
ALRM	Alarm.Com			120.08	0.39	0	46645370	0	2.8	7.23	10.18
ALRN	Aileron Therapeutics Inc	Health Care	Medical/Nursing Services	0	-41.73	0	14715210	0	0	0	0
ALSK	Alaska Commun Sys	Public Utilities	Telecommunications Equipment	0	-0.03	0	52432100	0	0	0.55	0.82
ALT	Altimmune Inc			0	-1.51	0	15422930	0	0	7.62	0.53
ALTR	Altair Engineering Inc Class A	Technology	Semiconductors	0	1.11	1.33	0	0.72	7.96	0	0
ALTY	G-X Super Dividend Alternatives ETF			0	0	0	0	0	0	0	0
ALXN	Alexion Pharm Inc	Consumer Durables	Major Pharmaceuticals	55.78	2.31	0	223215700	0	1.17	8.25	3.18
AMAG	Amag Pharmaceuticals	Consumer Durables	Major Pharmaceuticals	0	-1.3	0	35287950	0	0.3	0.9	0.57
AMAT	Applied Materials	Technology	Semiconductors	20.15	2.81	0.72	1066502000	0.4	0.61	4.3	6.84
AMBA	Ambarella Inc			35.89	1.53	0	33127050	0	1.96	5.58	3.99
AMBC	Ambac Financial Grp			0	-2.46	0	45250770	0	0.9	1.26	0.44
AMBCW	Ambac Financial Grp			0	0	0	0	0	0	0	0
AMCA	Ishares Russell 1000 Pure U.S. Revenue ETF			0	0	0	0	0	0	0	0
AMCN	Airmedia Group Inc	Technology	Advertising	0	-1.05	0	62812780	0	0	8.33	0.51
AMCX	Amc Networks Cl A			11.48	4.58	0	63558520	0	0.75	1.17	111.85
AMD	Adv Micro Devices			0	-0.6	0	946790600	0	710.38	2.46	27.28
AMDA	Amedica Corp			0	-1.24	0	36256410	0	0	1.07	0.85
AMED	Amedisys Inc	Health Care	Medical/Nursing Services	42.97	1.17	0	33817390	0	1.17	1.15	3.39
AMEH	Apollo Medical Holdings Inc			0	0	0	0	0	0	0	0
AMGN	Amgen	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	15.97	10.98	2.61	729689700	4.6	3.29	5.59	4.07
AMKR	Amkor Technology	Technology	Semiconductors	9.88	1.11	0	239269400	0	1.87	0.65	1.73
AMMA	Alliance Mma Inc			0	-0.79	0	10524100	0	0	6.93	1.36
AMNB	American Natl Bksh	Finance	Major Banks	21	1.9	2.4	8642105	0.96	4.98	5.33	1.67
AMOT	Allied Motion Tech	Capital Goods	Electrical Products	30.81	0.93	0.35	9451907	0.1	1.13	1.12	3.28
AMPH	Amphastar Pharma	Finance	Property & Casualty Insurance	239.09	0.08	0	46195000	0	2.73	3.41	2.55
AMR	Alta Mesa Resources Inc.			0	0	0	0	0	0	0	0
AMRB	American River Bkshs	Finance	Major Banks	15.94	0.94	1.36	6277853	0.2	1.29	4.01	1.13
AMRH	Ameri Holdings Inc			0	0	0	0	0	0	0	0
AMRHW	Ameri Holdings Inc Warrant			0	0	0	0	0	0	0	0
AMRK	A-Mark Precious Meta			15.73	1	2.03	7031151	0.32	0	0.02	1.59
AMRN	Amarin Corp Ads	Consumer Durables	Major Pharmaceuticals	0	-0.31	0	270792800	0	-1.74	5.87	0
AMRS	Amyris Inc	Basic Industries	Major Chemicals	0	-6.02	0	37605180	0	-0.03	1.31	0
AMRWW	Alta Mesa Resources Inc. Wt.			0	0	0	0	0	0	0	0
AMSC	Amer Superconductor	Consumer Durables	Metal Fabrications	0	-2.21	0	19194440	0	-0.05	1.14	1.27
AMSF	Amerisafe Inc	Finance	Property-Casualty Insurers	18.7	3.43	1.27	19173810	0.8	1.96	3.15	2.52
AMSWA	Amer Software Inc	Technology	Computer Software: Prepackaged Software	23.89	0.52	3.58	29726610	0.44	2.2	3.46	3.5
AMTD	TD Ameritrade HD	Finance	Investment Bankers/Brokers/Service	31.57	1.6	1.65	528212300	0.84	1.26	7.77	4.93
AMTX	Aemetis Inc			0	-1.02	0	19825340	0	0	0.1075	0
AMWD	Amer Woodmark Cp	Basic Industries	Forest Products	22.82	4.38	0	16208100	0	2.56	1.55	4.39
AMZN	Amazon.Com Inc	Consumer Services	Catalog/Specialty Distribution	280	3.93	0	480376100	0	4.77	3.11	20.11
ANAB	Anaptysbio Inc			0	-1.8	0	20395550	0	0	106.37	12.6
ANAT	Amer Natl Insurance	Finance	Life Insurance	16.82	7.22	2.71	26844530	3.28	0	0.99	0.68
ANCB	Anchor Bancorp	Finance	Banks	25.57	0.97	0	2449194	0	0	2.91	0.92
ANCX	Access National Corp	Finance	Savings Institutions	28.54	1.06	2.01	20390840	0.6	3.17	7.21	1.47
ANDA	Andina Acq Cp Ord Sh			0	-0.18	0	1794319	0	0	0	3.66
ANDAR	Andina Acq Cp Rt			0	0	0	0	0	0	0	0
ANDAU	Andina Acq Cp Unit			0	0	0	0	0	0	0	0
ANDAW	Andina Acq Cp WT			0	0	0	0	0	0	0	0
ANDE	Andersons Inc	Consumer Services	Farming/Seeds/Milling	0	-0.63	1.74	28455280	0.64	3.03	0.27	1.41
ANGI	Homeservices Inc			0	-0.23	0	60878070	0	13.23	1.23	82.14
ANGO	Angiodynamics Inc	Health Care	Medical/Dental Instruments	173.54	0.1	0	36714780	0	1.86	1.81	1.23
ANIK	Anika Therapeutics	Health Care	Medical/Dental Instruments	24.74	2.25	0	14658050	0	2.68	7.22	3.29
ANIP	ANI Pharma Inc			126.56	0.46	0	11637970	0	1.13	4.26	3.82
ANSS	Ansys Inc	Technology	Computer Software: Prepackaged Software	43.63	3.11	0	84769480	0	3.46	10.97	5.18
ANTH	Anthera Pharmaceutic	Consumer Durables	Major Pharmaceuticals	0	-7.84	0	10906980	0	-0.05	0	4.29
ANY	Sphere 3D Corp			0	-23.17	0	4365639	0	-0.01	0.13	0.7
AOBC	American Outdoor Brands Corp			9	1.61	0	54000690	0	0.83	0.93	1.96
AOSL	Alpha and Omega Semi	Technology	Semiconductors	31.7	0.56	0	23997180	0	-8.56	1.09	1.55
APDN	Applied Dna Scns			0	-0.49	0	27378050	0	0	12.95	8.46
APDNW	Applied Dna Sci Wrnt			0	0	0	0	0	0	0	0
APEI	American Pub. Edu.	Consumer Services	Other Consumer Services	20.8	0.95	0	16247980	0	-1.32	1.09	1.19
APEN	Apollo Endosurgery Inc			0	-6.49	0	17251820	0	0	1.17	1.63
APLP	Archrock Partners LP			0	-0.22	8.78	65579910	1.14	12.62	1.56	1.79
APLS	Apellis Pharmaceuticals Inc			0	0	0	0	0	0	0	0
APOG	Apogee Entrpr Inc	Capital Goods	Auto Parts:O.E.M.	17.45	2.74	1.15	28655090	0.56	1.59	1.16	2.78
APOP	Cellect Biotechnology Ltd			0	-1.37	0	107583400	0	0	0	11.25
APOPW	Cellect Biotechnology Ltd			0	0	0	0	0	0	0	0
APPF	Appfolio Cl A			1495.16	0.03	0	33872710	0	5.9	12.49	20.64
APPN	Appian Corporation Class A			0	-0.76	0	60163300	0	0	9.48	25.66
APPS	Digital Turbine			0	-0.32	0	66607600	0	-0.56	1.09	1.74
APRI	Apricus Biosc Inc	Consumer Durables	Major Pharmaceuticals	2.79	0.6	0	12784430	0	0	3.73	3.27
APTI	Apptio Inc			0	-0.93	0	39955210	0	0.39	4.3	10.23
APTO	Aptose Bioscns			0	-0.78	0	24029630	0	0	0	2.86
APVO	Aptevo Therapeutics Inc			0	-5.23	0	21417270	0	0	1.57	1.11
APWC	Asia Pacific Wire & Cable	Basic Industries	Telecommunications Equipment	8.96	0.34	0	13820000	0	0	0.1	0.27
AQB	Aquabounty Technologies Inc			0	-1.25	0	8894410	0	0	1068.53	2.48
AQMS	Aqua Metals Inc			0	-1.23	0	20164460	0	-0.1	132.76	1.4
AQXP	Aquinox Pharmaceutic			0	-1.88	0	23464370	0	0	0	2.17
ARAY	Accuray Incorporated	Health Care	Medical/Dental Instruments	0	-0.36	0	83179380	0	0.07	0.99	8.14
ARCB	Arcbest Corp			38.61	0.87	0.97	25705990	0.32	3.2	0.3	1.4
ARCC	Ares Capital Corp	Finance	Closed-End Fund - Debt	0	1.35	9.26	0	1.52	3.89	0	0
ARCI	Applnc Rcycl Ct Amer	Consumer Services	Home Furnishings	1.05	0.83	0	6659091	0	0	0.06	0.38
ARCT	Arcturus Therapeutics Ltd			0	-0.56	0	158493500	0	0	11.42	2.04
ARCW	Arc Group Worldwide	Consumer Services	Telecommunications Equipment	0	-0.56	0	18207410	0	-3.4	0.47	1.34
ARDM	Aradigm Corp	Consumer Durables	Medical Appliances & Equipment	0	-1.27	0	14429910	0	0	6.5	0
ARDX	Ardelyx Inc			0	-2.44	0	47445540	0	-0.07	0	1.59
AREX	Approach Res. Inc	Energy	Oil & Gas Production	0	-2.87	0	86341990	0	-1.4	1.9	0.35
ARGS	Argos Therapeutics			0	-1.487	0	54946440	0	0	18.3153	0
ARGX	Argenx Se Ads			0	-1.27	0	26870870	0	0	15.41	3.49
ARII	American Railcar Ind	Capital Goods	Railroads	14.11	2.68	4.16	19082980	1.6	2.89	1.37	1.32
ARKR	Ark Restaurants Cp	Consumer Services	Restaurants	22.96	1.05	4.15	3425135	1	0	0.55	2.07
ARLP	Alliance Resource Pt	Energy	Coal Mining	4.92	4.14	9.83	130712500	2	-1.07	1.35	1.04
ARLZ	Aralez Pharm Inc			0	-1.63	0	66846720	0	-0.03	1.09	1.26
ARMO	Armo Biosciences Inc.			0	0	0	0	0	0	0	0
ARNA	Arena Pharmaceutical	Consumer Durables	Major Pharmaceuticals	0	-0.74	0	39166370	0	0.45	8.96	12.74
AROW	Arrow Financial Corp	Finance	Major Banks	18.89	1.95	2.78	13913980	1	2.51	5.02	2.08
ARQL	Arqule Inc	Consumer Durables	Major Pharmaceuticals	0	-0.38	0	71173080	0	-0.47	29.83	7.11
ARRS	Arris Group Inc	Technology	Radio And Television Broadcasting And Communications Equipment	42.21	0.66	0	187544700	0	0.57	0.79	1.69
ARRY	Array Biopharma Inc	Consumer Durables	Major Pharmaceuticals	0	-0.72	0	171402400	0	-1.06	41.12	153.97
ARTNA	Artesian Res Cp A	Public Utilities	Water Supply	28.82	1.46	2.25	9187976	0.93	7.05	4.67	2.65
ARTW	Art S Way MFG Co I	Capital Goods	Industrial Machinery/Components	0	-0.32	0	4154717	0	0	0.56	0.66
ARTX	Arotech Corp	Energy	Industrial Machinery/Components	0	-0.11	0	26216870	0	0	1.21	1.66
ARWR	Arrowhead Pharma	Health Care	Biotechnology: Commercial Physical & Biological Resarch	0	-0.64	0	74772600	0	-1.1	11.15	2.81
ASCMA	Ascent Capital Group	Consumer Services	Television Services	0	-8.92	0	12167850	0	-0.08	0.24	0.75
ASET	Flexshares Real Assets Allocation Index Fund			0	0	0	0	0	0	0	0
ASFI	Asta Funding Inc	Finance	Finance Companies	0	-0.07	0	6623449	0	0	1.03	0.41
ASMB	Assembly Biosciences			0	-2.93	0	17363840	0	0	176.68	9.51
ASML	Asml Hldg NY Reg	Technology	Industrial Machinery/Components	33.84	5.29	0.71	430559500	1.27	1.64	8.2	5.67
ASNA	Ascena Retail Grp	Consumer Services	Clothing/Shoe/Accessory Stores	0	-5.48	0	191989800	0	0.56	0.06	0.47
ASND	Ascendis Pharma Ads			0	-3.61	0	32520330	0	-0.32	288.07	6.9
ASNS	Arsanis Inc			0	0	0	0	0	0	0	0
ASPS	Altisource Portfolio	Consumer Services	Other Consumer Services	83.21	0.3	0	18048150	0	0.45	0.47	7.1
ASPU	Aspen Group Inc			0	-0.11	0	13592410	0	0	6.57	13.36
ASRV	Ameriserv Financial	Finance	Major Banks	13.85	0.3	1.45	18280490	0.06	0	1.55	0.78
ASRVP	Ameriserv Fin Cap	Finance	Major Banks	0	0	0	0	0	0	0	0
ASTC	Astrotech Corp	Capital Goods	Military/Government/Technical	0	-2.84	0	4507332	0	0	6.27	0.79
ASTE	Astec Inds Inc	Capital Goods	Construction/Ag Equipment/Trucks	24.8	2.1	0.78	23028210	0.4	3.07	0.99	1.75
ASUR	Asure Software	Technology	EDP Services	0	-0.31	0	12421300	0	0.79	2.97	1.94
ASV	Asv Holdings Inc			262.9	0.03	0	9800000	0	0	0.73	1.22
ASYS	Amtech Systems Inc	Technology	Industrial Machinery/Components	117.84	0.12	0	13337240	0	3.03	1.22	2.62
ATAC	Atlantic Acquisition Corp	Consumer Services	Business Services	0	1.52	0	5871560	0	0	0	0
ATACR	Atlantic Acquisition Corp Right			0	0	0	0	0	0	0	0
ATACU	Atlantic Acquisition Corp Unit			0	0	0	5320000	0	0	0	0
ATAI	Ata Inc ADR	Consumer Services	Other Consumer Services	0	-0.15	9.03	22900000	0.41	0	1.42	2.13
ATAX	Amer First Mf Inv	Finance	Finance: Consumer Services	20.1	0.31	8.13	60252040	0.5	0	8.86	1.21
ATEC	Alphatec Holdings	Health Care	Medical/Dental Instruments	0	-2.81	0	11046510	0	0	0.41	0
ATHN	Athenahealth Inc	Miscellaneous	Business Services	163.83	0.79	0	39891560	0	3.04	4.26	6.84
ATHX	Athersys Inc	Consumer Durables	Major Pharmaceuticals	0	-0.26	0	113911000	0	-0.27	61.05	8
ATLC	Atlanticus Hldg Cp			0	-1.39	0	13983470	0	0	0.65	0
ATLO	Ames Natl Corp	Finance	Major Banks	18.93	1.6	2.91	9309900	0.88	0	6.04	1.64
ATNI	Atn International	Public Utilities	Telecommunications Equipment	39.66	1.34	1.27	16193980	0.68	15.11	1.67	1.27
ATNX	Athenex Inc			0	-3.47	0	57063280	0	0.98	47.88	7.97
ATOM	Atomera Inc			0	-1.35	0	12160260	0	0	0	1.83
ATOS	Atossa Genetics Inc			0	-1.952	0	11703080	0	0	0	2.2277
ATRA	Atara Biotherap			0	-3.33	0	30558820	0	0	0	1.83
ATRC	Atricure Inc	Health Care	Medical/Dental Instruments	0	-1.02	0	34333790	0	-1.13	4.44	4.57
ATRI	Atrion Corp	Health Care	Medical/Dental Instruments	37	17.85	0.74	1847505	4.8	0	8.25	6.92
ATRO	Astronics Cp	Capital Goods	Military/Government/Technical	25.99	1.38	0	28762920	0	1.96	1.62	2.86
ATRS	Antares Pharma	Technology	Application Software	0	-0.12	0	156406300	0	-0.24	5.48	7.21
ATSG	Air Transport	Transportation	Air Freight/Delivery Services	0	-0.68	0	59019120	0	55.14	1.55	5.01
ATTU	Attunity Ltd	Technology	Technical & System Software	0	-0.53	0	17061950	0	-17.38	2.12	3.97
ATVI	Activision Blizzard	Technology	Computer Software: Prepackaged Software	43.31	1.48	0.48	754911100	0.3	1.67	6.75	4.82
ATXI	Avenue Therapeutics Inc			0	-0.44	0	10040950	0	0	0	1.57
